,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,FREQ,Frequency
71,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-13,Financial account - in mln EUR (line 13),2008,2008-01-01,-28403.0,-28403.0,A,Annually
72,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-13,Financial account - in mln EUR (line 13),2009,2009-01-01,-14113.0,-14113.0,A,Annually
73,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-13,Financial account - in mln EUR (line 13),2010,2010-01-01,-23270.0,-23270.0,A,Annually
74,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-13,Financial account - in mln EUR (line 13),2011,2011-01-01,-19658.0,-19658.0,A,Annually
75,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-13,Financial account - in mln EUR (line 13),2012,2012-01-01,-8910.0,-8910.0,A,Annually
76,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-13,Financial account - in mln EUR (line 13),2013,2013-01-01,-4563.0,-4563.0,A,Annually
77,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-13,Financial account - in mln EUR (line 13),2014,2014-01-01,-4808.0,-4808.0,A,Annually
78,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-13,Financial account - in mln EUR (line 13),2015,2015-01-01,528.0,528.0,A,Annually
79,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-13,Financial account - in mln EUR (line 13),2016,2016-01-01,1335.0,1335.0,A,Annually
80,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-13,Financial account - in mln EUR (line 13),2017,2017-01-01,-2284.0,-2284.0,A,Annually
81,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-13,Financial account - in mln EUR (line 13),2018,2018-01-01,1175.0,1175.0,A,Annually
82,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-13,Financial account - in mln EUR (line 13),2019,2019-01-01,5637.0,5637.0,A,Annually
83,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-13,Financial account - in mln EUR (line 13),2020,2020-01-01,20186.0,20186.0,A,Annually
84,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-15,Financial account - direct investment: - assets - in mln EUR (line 15),2000,2000-01-01,NA,,A,Annually
85,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-15,Financial account - direct investment: - assets - in mln EUR (line 15),2001,2001-01-01,NA,,A,Annually
86,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-15,Financial account - direct investment: - assets - in mln EUR (line 15),2002,2002-01-01,NA,,A,Annually
87,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-15,Financial account - direct investment: - assets - in mln EUR (line 15),2003,2003-01-01,NA,,A,Annually
88,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-15,Financial account - direct investment: - assets - in mln EUR (line 15),2004,2004-01-01,1711.0,1711.0,A,Annually
89,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-15,Financial account - direct investment: - assets - in mln EUR (line 15),2005,2005-01-01,3394.0,3394.0,A,Annually
90,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-15,Financial account - direct investment: - assets - in mln EUR (line 15),2006,2006-01-01,8444.0,8444.0,A,Annually
91,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-15,Financial account - direct investment: - assets - in mln EUR (line 15),2007,2007-01-01,5411.0,5411.0,A,Annually
92,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-15,Financial account - direct investment: - assets - in mln EUR (line 15),2008,2008-01-01,2958.0,2958.0,A,Annually
93,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-15,Financial account - direct investment: - assets - in mln EUR (line 15),2009,2009-01-01,4369.0,4369.0,A,Annually
94,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-15,Financial account - direct investment: - assets - in mln EUR (line 15),2010,2010-01-01,7051.0,7051.0,A,Annually
95,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-15,Financial account - direct investment: - assets - in mln EUR (line 15),2011,2011-01-01,3458.0,3458.0,A,Annually
96,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-15,Financial account - direct investment: - assets - in mln EUR (line 15),2012,2012-01-01,1055.0,1055.0,A,Annually
97,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-15,Financial account - direct investment: - assets - in mln EUR (line 15),2013,2013-01-01,-2525.0,-2525.0,A,Annually
98,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-15,Financial account - direct investment: - assets - in mln EUR (line 15),2014,2014-01-01,5091.0,5091.0,A,Annually
99,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-15,Financial account - direct investment: - assets - in mln EUR (line 15),2015,2015-01-01,4388.0,4388.0,A,Annually
100,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-15,Financial account - direct investment: - assets - in mln EUR (line 15),2016,2016-01-01,12813.0,12813.0,A,Annually
101,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-15,Financial account - direct investment: - assets - in mln EUR (line 15),2017,2017-01-01,3431.0,3431.0,A,Annually
102,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-15,Financial account - direct investment: - assets - in mln EUR (line 15),2018,2018-01-01,1951.0,1951.0,A,Annually
103,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-15,Financial account - direct investment: - assets - in mln EUR (line 15),2019,2019-01-01,4593.0,4593.0,A,Annually
104,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-15,Financial account - direct investment: - assets - in mln EUR (line 15),2020,2020-01-01,4053.0,4053.0,A,Annually
105,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-16,Financial account - direct investment: - liabilities - in mln EUR (line 16),2000,2000-01-01,NA,,A,Annually
106,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-16,Financial account - direct investment: - liabilities - in mln EUR (line 16),2001,2001-01-01,NA,,A,Annually
107,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-16,Financial account - direct investment: - liabilities - in mln EUR (line 16),2002,2002-01-01,NA,,A,Annually
108,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-16,Financial account - direct investment: - liabilities - in mln EUR (line 16),2003,2003-01-01,NA,,A,Annually
109,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-16,Financial account - direct investment: - liabilities - in mln EUR (line 16),2004,2004-01-01,11169.0,11169.0,A,Annually
110,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-16,Financial account - direct investment: - liabilities - in mln EUR (line 16),2005,2005-01-01,8929.0,8929.0,A,Annually
111,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-16,Financial account - direct investment: - liabilities - in mln EUR (line 16),2006,2006-01-01,17021.0,17021.0,A,Annually
