,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,FREQ,Frequency
4735,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-11,Gross value added in total (current prices) - industry - mining and quarrying - in mln zl (line 11),2017,2017-01-01,32366.0,32366.0,A,Annually
4736,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-11,Gross value added in total (current prices) - industry - mining and quarrying - in mln zl (line 11),2018,2018-01-01,32448.0,32448.0,A,Annually
4737,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-11,Gross value added in total (current prices) - industry - mining and quarrying - in mln zl (line 11),2019,2019-01-01,32898.0,32898.0,A,Annually
4738,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-11,Gross value added in total (current prices) - industry - mining and quarrying - in mln zl (line 11),2020,2020-01-01,31216.0,31216.0,A,Annually
4739,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-110,Gross value added in total (constant pricesd) - accommodation and catering∆ - previous year=100 (line 110),1995,1995-01-01,NA,,A,Annually
4740,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-110,Gross value added in total (constant pricesd) - accommodation and catering∆ - previous year=100 (line 110),1996,1996-01-01,117.5,117.5,A,Annually
4741,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-110,Gross value added in total (constant pricesd) - accommodation and catering∆ - previous year=100 (line 110),1997,1997-01-01,101.6,101.6,A,Annually
4742,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-110,Gross value added in total (constant pricesd) - accommodation and catering∆ - previous year=100 (line 110),1998,1998-01-01,109.3,109.3,A,Annually
4743,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-110,Gross value added in total (constant pricesd) - accommodation and catering∆ - previous year=100 (line 110),1999,1999-01-01,107.2,107.2,A,Annually
4744,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-110,Gross value added in total (constant pricesd) - accommodation and catering∆ - previous year=100 (line 110),2000,2000-01-01,111.8,111.8,A,Annually
4745,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-110,Gross value added in total (constant pricesd) - accommodation and catering∆ - previous year=100 (line 110),2001,2001-01-01,98.0,98.0,A,Annually
4746,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-110,Gross value added in total (constant pricesd) - accommodation and catering∆ - previous year=100 (line 110),2002,2002-01-01,94.9,94.9,A,Annually
4747,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-110,Gross value added in total (constant pricesd) - accommodation and catering∆ - previous year=100 (line 110),2003,2003-01-01,100.3,100.3,A,Annually
4748,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-110,Gross value added in total (constant pricesd) - accommodation and catering∆ - previous year=100 (line 110),2004,2004-01-01,104.1,104.1,A,Annually
4749,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-110,Gross value added in total (constant pricesd) - accommodation and catering∆ - previous year=100 (line 110),2005,2005-01-01,110.5,110.5,A,Annually
4750,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-110,Gross value added in total (constant pricesd) - accommodation and catering∆ - previous year=100 (line 110),2006,2006-01-01,100.4,100.4,A,Annually
4751,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-110,Gross value added in total (constant pricesd) - accommodation and catering∆ - previous year=100 (line 110),2007,2007-01-01,106.6,106.6,A,Annually
4752,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-110,Gross value added in total (constant pricesd) - accommodation and catering∆ - previous year=100 (line 110),2008,2008-01-01,99.4,99.4,A,Annually
4753,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-110,Gross value added in total (constant pricesd) - accommodation and catering∆ - previous year=100 (line 110),2009,2009-01-01,102.4,102.4,A,Annually
4754,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-110,Gross value added in total (constant pricesd) - accommodation and catering∆ - previous year=100 (line 110),2010,2010-01-01,104.1,104.1,A,Annually
4755,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-110,Gross value added in total (constant pricesd) - accommodation and catering∆ - previous year=100 (line 110),2011,2011-01-01,105.4,105.4,A,Annually
4756,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-110,Gross value added in total (constant pricesd) - accommodation and catering∆ - previous year=100 (line 110),2012,2012-01-01,100.8,100.8,A,Annually
4757,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-110,Gross value added in total (constant pricesd) - accommodation and catering∆ - previous year=100 (line 110),2013,2013-01-01,106.0,106.0,A,Annually
4758,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-110,Gross value added in total (constant pricesd) - accommodation and catering∆ - previous year=100 (line 110),2014,2014-01-01,110.0,110.0,A,Annually
4759,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-110,Gross value added in total (constant pricesd) - accommodation and catering∆ - previous year=100 (line 110),2015,2015-01-01,98.6,98.6,A,Annually
4760,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-110,Gross value added in total (constant pricesd) - accommodation and catering∆ - previous year=100 (line 110),2016,2016-01-01,100.9,100.9,A,Annually
4761,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-110,Gross value added in total (constant pricesd) - accommodation and catering∆ - previous year=100 (line 110),2017,2017-01-01,119.1,119.1,A,Annually
4762,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-110,Gross value added in total (constant pricesd) - accommodation and catering∆ - previous year=100 (line 110),2018,2018-01-01,103.7,103.7,A,Annually
4763,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-110,Gross value added in total (constant pricesd) - accommodation and catering∆ - previous year=100 (line 110),2019,2019-01-01,98.8,98.8,A,Annually
4764,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-110,Gross value added in total (constant pricesd) - accommodation and catering∆ - previous year=100 (line 110),2020,2020-01-01,54.5,54.5,A,Annually
4765,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-111,Gross value added in total (constant pricesd) - accommodation and catering∆ - 1995=100 (line 111),1995,1995-01-01,100.0,100.0,A,Annually
4766,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-111,Gross value added in total (constant pricesd) - accommodation and catering∆ - 1995=100 (line 111),1996,1996-01-01,117.5,117.5,A,Annually
4767,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-111,Gross value added in total (constant pricesd) - accommodation and catering∆ - 1995=100 (line 111),1997,1997-01-01,119.4,119.4,A,Annually
4768,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-111,Gross value added in total (constant pricesd) - accommodation and catering∆ - 1995=100 (line 111),1998,1998-01-01,130.5,130.5,A,Annually
4769,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-111,Gross value added in total (constant pricesd) - accommodation and catering∆ - 1995=100 (line 111),1999,1999-01-01,139.9,139.9,A,Annually
4770,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-111,Gross value added in total (constant pricesd) - accommodation and catering∆ - 1995=100 (line 111),2000,2000-01-01,156.4,156.4,A,Annually
4771,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-111,Gross value added in total (constant pricesd) - accommodation and catering∆ - 1995=100 (line 111),2001,2001-01-01,153.3,153.3,A,Annually
4772,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-111,Gross value added in total (constant pricesd) - accommodation and catering∆ - 1995=100 (line 111),2002,2002-01-01,145.5,145.5,A,Annually
4773,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-111,Gross value added in total (constant pricesd) - accommodation and catering∆ - 1995=100 (line 111),2003,2003-01-01,145.9,145.9,A,Annually
4774,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-111,Gross value added in total (constant pricesd) - accommodation and catering∆ - 1995=100 (line 111),2004,2004-01-01,151.9,151.9,A,Annually
4775,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-111,Gross value added in total (constant pricesd) - accommodation and catering∆ - 1995=100 (line 111),2005,2005-01-01,167.8,167.8,A,Annually
4776,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-111,Gross value added in total (constant pricesd) - accommodation and catering∆ - 1995=100 (line 111),2006,2006-01-01,168.5,168.5,A,Annually
4777,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-111,Gross value added in total (constant pricesd) - accommodation and catering∆ - 1995=100 (line 111),2007,2007-01-01,179.6,179.6,A,Annually
4778,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-111,Gross value added in total (constant pricesd) - accommodation and catering∆ - 1995=100 (line 111),2008,2008-01-01,178.5,178.5,A,Annually
4779,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-111,Gross value added in total (constant pricesd) - accommodation and catering∆ - 1995=100 (line 111),2009,2009-01-01,182.8,182.8,A,Annually
4780,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-111,Gross value added in total (constant pricesd) - accommodation and catering∆ - 1995=100 (line 111),2010,2010-01-01,190.3,190.3,A,Annually
4781,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-111,Gross value added in total (constant pricesd) - accommodation and catering∆ - 1995=100 (line 111),2011,2011-01-01,200.6,200.6,A,Annually
4782,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-111,Gross value added in total (constant pricesd) - accommodation and catering∆ - 1995=100 (line 111),2012,2012-01-01,202.2,202.2,A,Annually
4783,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-111,Gross value added in total (constant pricesd) - accommodation and catering∆ - 1995=100 (line 111),2013,2013-01-01,214.3,214.3,A,Annually
4784,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-111,Gross value added in total (constant pricesd) - accommodation and catering∆ - 1995=100 (line 111),2014,2014-01-01,235.7,235.7,A,Annually
4785,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-111,Gross value added in total (constant pricesd) - accommodation and catering∆ - 1995=100 (line 111),2015,2015-01-01,232.4,232.4,A,Annually
4786,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-111,Gross value added in total (constant pricesd) - accommodation and catering∆ - 1995=100 (line 111),2016,2016-01-01,234.5,234.5,A,Annually
4787,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-111,Gross value added in total (constant pricesd) - accommodation and catering∆ - 1995=100 (line 111),2017,2017-01-01,279.3,279.3,A,Annually
4788,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-111,Gross value added in total (constant pricesd) - accommodation and catering∆ - 1995=100 (line 111),2018,2018-01-01,289.6,289.6,A,Annually
4789,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-111,Gross value added in total (constant pricesd) - accommodation and catering∆ - 1995=100 (line 111),2019,2019-01-01,286.1,286.1,A,Annually
4790,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-111,Gross value added in total (constant pricesd) - accommodation and catering∆ - 1995=100 (line 111),2020,2020-01-01,155.9,155.9,A,Annually
4791,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-112,Gross value added in total (constant pricesd) - accommodation and catering∆ - 2000=100 (line 112),1995,1995-01-01,NA,,A,Annually
4792,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-112,Gross value added in total (constant pricesd) - accommodation and catering∆ - 2000=100 (line 112),1996,1996-01-01,NA,,A,Annually
4793,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-112,Gross value added in total (constant pricesd) - accommodation and catering∆ - 2000=100 (line 112),1997,1997-01-01,NA,,A,Annually
4794,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-112,Gross value added in total (constant pricesd) - accommodation and catering∆ - 2000=100 (line 112),1998,1998-01-01,NA,,A,Annually
4795,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-112,Gross value added in total (constant pricesd) - accommodation and catering∆ - 2000=100 (line 112),1999,1999-01-01,NA,,A,Annually
4796,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-112,Gross value added in total (constant pricesd) - accommodation and catering∆ - 2000=100 (line 112),2000,2000-01-01,100.0,100.0,A,Annually
4797,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-112,Gross value added in total (constant pricesd) - accommodation and catering∆ - 2000=100 (line 112),2001,2001-01-01,98.0,98.0,A,Annually
4798,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-112,Gross value added in total (constant pricesd) - accommodation and catering∆ - 2000=100 (line 112),2002,2002-01-01,93.0,93.0,A,Annually
4799,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-112,Gross value added in total (constant pricesd) - accommodation and catering∆ - 2000=100 (line 112),2003,2003-01-01,93.3,93.3,A,Annually
4800,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-112,Gross value added in total (constant pricesd) - accommodation and catering∆ - 2000=100 (line 112),2004,2004-01-01,97.1,97.1,A,Annually
4801,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-112,Gross value added in total (constant pricesd) - accommodation and catering∆ - 2000=100 (line 112),2005,2005-01-01,107.3,107.3,A,Annually
4802,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-112,Gross value added in total (constant pricesd) - accommodation and catering∆ - 2000=100 (line 112),2006,2006-01-01,107.7,107.7,A,Annually
4803,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-112,Gross value added in total (constant pricesd) - accommodation and catering∆ - 2000=100 (line 112),2007,2007-01-01,114.8,114.8,A,Annually
4804,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-112,Gross value added in total (constant pricesd) - accommodation and catering∆ - 2000=100 (line 112),2008,2008-01-01,114.1,114.1,A,Annually
4805,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-112,Gross value added in total (constant pricesd) - accommodation and catering∆ - 2000=100 (line 112),2009,2009-01-01,116.8,116.8,A,Annually
4806,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-112,Gross value added in total (constant pricesd) - accommodation and catering∆ - 2000=100 (line 112),2010,2010-01-01,121.6,121.6,A,Annually
4807,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-112,Gross value added in total (constant pricesd) - accommodation and catering∆ - 2000=100 (line 112),2011,2011-01-01,128.2,128.2,A,Annually
4808,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-112,Gross value added in total (constant pricesd) - accommodation and catering∆ - 2000=100 (line 112),2012,2012-01-01,129.2,129.2,A,Annually
4809,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-112,Gross value added in total (constant pricesd) - accommodation and catering∆ - 2000=100 (line 112),2013,2013-01-01,137.0,137.0,A,Annually
4810,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-112,Gross value added in total (constant pricesd) - accommodation and catering∆ - 2000=100 (line 112),2014,2014-01-01,150.7,150.7,A,Annually
4811,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-112,Gross value added in total (constant pricesd) - accommodation and catering∆ - 2000=100 (line 112),2015,2015-01-01,148.6,148.6,A,Annually
4812,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-112,Gross value added in total (constant pricesd) - accommodation and catering∆ - 2000=100 (line 112),2016,2016-01-01,149.9,149.9,A,Annually
4813,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-112,Gross value added in total (constant pricesd) - accommodation and catering∆ - 2000=100 (line 112),2017,2017-01-01,178.5,178.5,A,Annually
4814,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-112,Gross value added in total (constant pricesd) - accommodation and catering∆ - 2000=100 (line 112),2018,2018-01-01,185.1,185.1,A,Annually
4815,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-112,Gross value added in total (constant pricesd) - accommodation and catering∆ - 2000=100 (line 112),2019,2019-01-01,182.9,182.9,A,Annually
4816,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-112,Gross value added in total (constant pricesd) - accommodation and catering∆ - 2000=100 (line 112),2020,2020-01-01,99.7,99.7,A,Annually
4817,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-113,Gross value added in total (constant pricesd) - accommodation and catering∆ - I2 (line 113),1995,1995-01-01,NA,,A,Annually
4818,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-113,Gross value added in total (constant pricesd) - accommodation and catering∆ - I2 (line 113),1996,1996-01-01,NA,,A,Annually
4819,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-113,Gross value added in total (constant pricesd) - accommodation and catering∆ - I2 (line 113),1997,1997-01-01,NA,,A,Annually
4820,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-113,Gross value added in total (constant pricesd) - accommodation and catering∆ - I2 (line 113),1998,1998-01-01,NA,,A,Annually
4821,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-113,Gross value added in total (constant pricesd) - accommodation and catering∆ - I2 (line 113),1999,1999-01-01,NA,,A,Annually
4822,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-113,Gross value added in total (constant pricesd) - accommodation and catering∆ - I2 (line 113),2000,2000-01-01,NA,,A,Annually
4823,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-113,Gross value added in total (constant pricesd) - accommodation and catering∆ - I2 (line 113),2001,2001-01-01,NA,,A,Annually
4824,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-113,Gross value added in total (constant pricesd) - accommodation and catering∆ - I2 (line 113),2002,2002-01-01,NA,,A,Annually
4825,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-113,Gross value added in total (constant pricesd) - accommodation and catering∆ - I2 (line 113),2003,2003-01-01,NA,,A,Annually
4826,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-113,Gross value added in total (constant pricesd) - accommodation and catering∆ - I2 (line 113),2004,2004-01-01,NA,,A,Annually
4827,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-113,Gross value added in total (constant pricesd) - accommodation and catering∆ - I2 (line 113),2005,2005-01-01,100.0,100.0,A,Annually
4828,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-113,Gross value added in total (constant pricesd) - accommodation and catering∆ - I2 (line 113),2006,2006-01-01,100.4,100.4,A,Annually
4829,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-113,Gross value added in total (constant pricesd) - accommodation and catering∆ - I2 (line 113),2007,2007-01-01,107.0,107.0,A,Annually
4830,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-113,Gross value added in total (constant pricesd) - accommodation and catering∆ - I2 (line 113),2008,2008-01-01,106.4,106.4,A,Annually
4831,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-113,Gross value added in total (constant pricesd) - accommodation and catering∆ - I2 (line 113),2009,2009-01-01,109.0,109.0,A,Annually
4832,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-113,Gross value added in total (constant pricesd) - accommodation and catering∆ - I2 (line 113),2010,2010-01-01,113.5,113.5,A,Annually
4833,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-113,Gross value added in total (constant pricesd) - accommodation and catering∆ - I2 (line 113),2011,2011-01-01,119.6,119.6,A,Annually
4834,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-113,Gross value added in total (constant pricesd) - accommodation and catering∆ - I2 (line 113),2012,2012-01-01,120.6,120.6,A,Annually
4835,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-113,Gross value added in total (constant pricesd) - accommodation and catering∆ - I2 (line 113),2013,2013-01-01,127.8,127.8,A,Annually
4836,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-113,Gross value added in total (constant pricesd) - accommodation and catering∆ - I2 (line 113),2014,2014-01-01,140.6,140.6,A,Annually
4837,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-113,Gross value added in total (constant pricesd) - accommodation and catering∆ - I2 (line 113),2015,2015-01-01,138.6,138.6,A,Annually
4838,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-113,Gross value added in total (constant pricesd) - accommodation and catering∆ - I2 (line 113),2016,2016-01-01,139.8,139.8,A,Annually
4839,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-113,Gross value added in total (constant pricesd) - accommodation and catering∆ - I2 (line 113),2017,2017-01-01,166.5,166.5,A,Annually
4840,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-113,Gross value added in total (constant pricesd) - accommodation and catering∆ - I2 (line 113),2018,2018-01-01,172.7,172.7,A,Annually
4841,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-113,Gross value added in total (constant pricesd) - accommodation and catering∆ - I2 (line 113),2019,2019-01-01,170.6,170.6,A,Annually
4842,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-113,Gross value added in total (constant pricesd) - accommodation and catering∆ - I2 (line 113),2020,2020-01-01,93.0,93.0,A,Annually
4843,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-114,Gross value added in total (constant pricesd) - accommodation and catering∆ - I3 (line 114),1995,1995-01-01,NA,,A,Annually
4844,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-114,Gross value added in total (constant pricesd) - accommodation and catering∆ - I3 (line 114),1996,1996-01-01,NA,,A,Annually
4845,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-114,Gross value added in total (constant pricesd) - accommodation and catering∆ - I3 (line 114),1997,1997-01-01,NA,,A,Annually
4846,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-114,Gross value added in total (constant pricesd) - accommodation and catering∆ - I3 (line 114),1998,1998-01-01,NA,,A,Annually
4847,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-114,Gross value added in total (constant pricesd) - accommodation and catering∆ - I3 (line 114),1999,1999-01-01,NA,,A,Annually
4848,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-114,Gross value added in total (constant pricesd) - accommodation and catering∆ - I3 (line 114),2000,2000-01-01,NA,,A,Annually
4849,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-114,Gross value added in total (constant pricesd) - accommodation and catering∆ - I3 (line 114),2001,2001-01-01,NA,,A,Annually
4850,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-114,Gross value added in total (constant pricesd) - accommodation and catering∆ - I3 (line 114),2002,2002-01-01,NA,,A,Annually
4851,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-114,Gross value added in total (constant pricesd) - accommodation and catering∆ - I3 (line 114),2003,2003-01-01,NA,,A,Annually
4852,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-114,Gross value added in total (constant pricesd) - accommodation and catering∆ - I3 (line 114),2004,2004-01-01,NA,,A,Annually
4853,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-114,Gross value added in total (constant pricesd) - accommodation and catering∆ - I3 (line 114),2005,2005-01-01,NA,,A,Annually
4854,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-114,Gross value added in total (constant pricesd) - accommodation and catering∆ - I3 (line 114),2006,2006-01-01,NA,,A,Annually
4855,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-114,Gross value added in total (constant pricesd) - accommodation and catering∆ - I3 (line 114),2007,2007-01-01,NA,,A,Annually
4856,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-114,Gross value added in total (constant pricesd) - accommodation and catering∆ - I3 (line 114),2008,2008-01-01,NA,,A,Annually
4857,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-114,Gross value added in total (constant pricesd) - accommodation and catering∆ - I3 (line 114),2009,2009-01-01,NA,,A,Annually
4858,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-114,Gross value added in total (constant pricesd) - accommodation and catering∆ - I3 (line 114),2010,2010-01-01,100.0,100.0,A,Annually
4859,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-114,Gross value added in total (constant pricesd) - accommodation and catering∆ - I3 (line 114),2011,2011-01-01,105.4,105.4,A,Annually
4860,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-114,Gross value added in total (constant pricesd) - accommodation and catering∆ - I3 (line 114),2012,2012-01-01,106.2,106.2,A,Annually
4861,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-114,Gross value added in total (constant pricesd) - accommodation and catering∆ - I3 (line 114),2013,2013-01-01,112.6,112.6,A,Annually
4862,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-114,Gross value added in total (constant pricesd) - accommodation and catering∆ - I3 (line 114),2014,2014-01-01,123.9,123.9,A,Annually
4863,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-114,Gross value added in total (constant pricesd) - accommodation and catering∆ - I3 (line 114),2015,2015-01-01,122.2,122.2,A,Annually
4864,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-114,Gross value added in total (constant pricesd) - accommodation and catering∆ - I3 (line 114),2016,2016-01-01,123.3,123.3,A,Annually
4865,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-114,Gross value added in total (constant pricesd) - accommodation and catering∆ - I3 (line 114),2017,2017-01-01,146.9,146.9,A,Annually
4866,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-114,Gross value added in total (constant pricesd) - accommodation and catering∆ - I3 (line 114),2018,2018-01-01,152.3,152.3,A,Annually
4867,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-114,Gross value added in total (constant pricesd) - accommodation and catering∆ - I3 (line 114),2019,2019-01-01,150.5,150.5,A,Annually
4868,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-114,Gross value added in total (constant pricesd) - accommodation and catering∆ - I3 (line 114),2020,2020-01-01,82.0,82.0,A,Annually
4869,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-115,Gross value added in total (constant pricesd) - accommodation and catering∆ - I4 (line 115),1995,1995-01-01,NA,,A,Annually
4870,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-115,Gross value added in total (constant pricesd) - accommodation and catering∆ - I4 (line 115),1996,1996-01-01,NA,,A,Annually
4871,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-115,Gross value added in total (constant pricesd) - accommodation and catering∆ - I4 (line 115),1997,1997-01-01,NA,,A,Annually
4872,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-115,Gross value added in total (constant pricesd) - accommodation and catering∆ - I4 (line 115),1998,1998-01-01,NA,,A,Annually
4873,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-115,Gross value added in total (constant pricesd) - accommodation and catering∆ - I4 (line 115),1999,1999-01-01,NA,,A,Annually
4874,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-115,Gross value added in total (constant pricesd) - accommodation and catering∆ - I4 (line 115),2000,2000-01-01,NA,,A,Annually
4875,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-115,Gross value added in total (constant pricesd) - accommodation and catering∆ - I4 (line 115),2001,2001-01-01,NA,,A,Annually
4876,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-115,Gross value added in total (constant pricesd) - accommodation and catering∆ - I4 (line 115),2002,2002-01-01,NA,,A,Annually
4877,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-115,Gross value added in total (constant pricesd) - accommodation and catering∆ - I4 (line 115),2003,2003-01-01,NA,,A,Annually
4878,annual,STATPOL,ANA,NATIONAL ACCOUNTS,ANA-115,Gross value added in total (constant pricesd) - accommodation and catering∆ - I4 (line 115),2004,2004-01-01,NA,,A,Annually
