,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,frequency,Frequency
1172,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2020-07,2020-07-01,56.55,56.55,M,Monthly
1173,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2020-08,2020-08-01,53.23,53.23,M,Monthly
1174,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2020-09,2020-09-01,51.72,51.72,M,Monthly
1175,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2020-10,2020-10-01,50.17,50.17,M,Monthly
1176,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2020-11,2020-11-01,49.98,49.98,M,Monthly
1177,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2020-12,2020-12-01,51.58,51.58,M,Monthly
1178,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2021-01,2021-01-01,54.55,54.55,M,Monthly
1179,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2021-02,2021-02-01,57.24,57.24,M,Monthly
1180,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2021-03,2021-03-01,53.82,53.82,M,Monthly
1181,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2021-04,2021-04-01,51.12,51.12,M,Monthly
