,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,FREQ,REF_AREA,ADJUSTMENT,BS_REP_SECTOR,BS_ITEM,MATURITY_ORIG,DATA_TYPE,COUNT_AREA,BS_COUNT_SECTOR,CURRENCY_TRANS,BS_SUFFIX,Frequency code list,Area code list,Adjustment indicator code list,Balance sheet reference sector breakdown,Balance sheet item,Original maturity,Data Type,Counterpart geo area,Balance sheet counterpart sector,Currency code list,Suffix
207,monthly,BDF,BSI1,Data on monetary aggregates in France.,M.FR.N.V.M20.A.1.U2.2300.Z01.E,"France monetary agregates, M2 [stocks]",1987-04,1987-04-01,464436.0,464436.0,M,FR,N,V,M20,A,1,U2,2300,Z01,E,Monthly,France,Neither seasonally nor working day adjusted,"MFIs, central government and post office giro institutions",Monetary aggregate M2,Total,Outstanding amounts at the end of the period (stocks),Euro area (changing composition),Non-MFIs excluding central government,All currencies combined,Euro
208,monthly,BDF,BSI1,Data on monetary aggregates in France.,M.FR.N.V.M20.A.1.U2.2300.Z01.E,"France monetary agregates, M2 [stocks]",1987-05,1987-05-01,460170.0,460170.0,M,FR,N,V,M20,A,1,U2,2300,Z01,E,Monthly,France,Neither seasonally nor working day adjusted,"MFIs, central government and post office giro institutions",Monetary aggregate M2,Total,Outstanding amounts at the end of the period (stocks),Euro area (changing composition),Non-MFIs excluding central government,All currencies combined,Euro
209,monthly,BDF,BSI1,Data on monetary aggregates in France.,M.FR.N.V.M20.A.1.U2.2300.Z01.E,"France monetary agregates, M2 [stocks]",1987-06,1987-06-01,467725.0,467725.0,M,FR,N,V,M20,A,1,U2,2300,Z01,E,Monthly,France,Neither seasonally nor working day adjusted,"MFIs, central government and post office giro institutions",Monetary aggregate M2,Total,Outstanding amounts at the end of the period (stocks),Euro area (changing composition),Non-MFIs excluding central government,All currencies combined,Euro
210,monthly,BDF,BSI1,Data on monetary aggregates in France.,M.FR.N.V.M20.A.1.U2.2300.Z01.E,"France monetary agregates, M2 [stocks]",1987-07,1987-07-01,470322.0,470322.0,M,FR,N,V,M20,A,1,U2,2300,Z01,E,Monthly,France,Neither seasonally nor working day adjusted,"MFIs, central government and post office giro institutions",Monetary aggregate M2,Total,Outstanding amounts at the end of the period (stocks),Euro area (changing composition),Non-MFIs excluding central government,All currencies combined,Euro
211,monthly,BDF,BSI1,Data on monetary aggregates in France.,M.FR.N.V.M20.A.1.U2.2300.Z01.E,"France monetary agregates, M2 [stocks]",1987-08,1987-08-01,463035.0,463035.0,M,FR,N,V,M20,A,1,U2,2300,Z01,E,Monthly,France,Neither seasonally nor working day adjusted,"MFIs, central government and post office giro institutions",Monetary aggregate M2,Total,Outstanding amounts at the end of the period (stocks),Euro area (changing composition),Non-MFIs excluding central government,All currencies combined,Euro
212,monthly,BDF,BSI1,Data on monetary aggregates in France.,M.FR.N.V.M20.A.1.U2.2300.Z01.E,"France monetary agregates, M2 [stocks]",1987-09,1987-09-01,468587.0,468587.0,M,FR,N,V,M20,A,1,U2,2300,Z01,E,Monthly,France,Neither seasonally nor working day adjusted,"MFIs, central government and post office giro institutions",Monetary aggregate M2,Total,Outstanding amounts at the end of the period (stocks),Euro area (changing composition),Non-MFIs excluding central government,All currencies combined,Euro
213,monthly,BDF,BSI1,Data on monetary aggregates in France.,M.FR.N.V.M20.A.1.U2.2300.Z01.E,"France monetary agregates, M2 [stocks]",1987-10,1987-10-01,473679.0,473679.0,M,FR,N,V,M20,A,1,U2,2300,Z01,E,Monthly,France,Neither seasonally nor working day adjusted,"MFIs, central government and post office giro institutions",Monetary aggregate M2,Total,Outstanding amounts at the end of the period (stocks),Euro area (changing composition),Non-MFIs excluding central government,All currencies combined,Euro
214,monthly,BDF,BSI1,Data on monetary aggregates in France.,M.FR.N.V.M20.A.1.U2.2300.Z01.E,"France monetary agregates, M2 [stocks]",1987-11,1987-11-01,470000.0,470000.0,M,FR,N,V,M20,A,1,U2,2300,Z01,E,Monthly,France,Neither seasonally nor working day adjusted,"MFIs, central government and post office giro institutions",Monetary aggregate M2,Total,Outstanding amounts at the end of the period (stocks),Euro area (changing composition),Non-MFIs excluding central government,All currencies combined,Euro
215,monthly,BDF,BSI1,Data on monetary aggregates in France.,M.FR.N.V.M20.A.1.U2.2300.Z01.E,"France monetary agregates, M2 [stocks]",1987-12,1987-12-01,492693.0,492693.0,M,FR,N,V,M20,A,1,U2,2300,Z01,E,Monthly,France,Neither seasonally nor working day adjusted,"MFIs, central government and post office giro institutions",Monetary aggregate M2,Total,Outstanding amounts at the end of the period (stocks),Euro area (changing composition),Non-MFIs excluding central government,All currencies combined,Euro
216,monthly,BDF,BSI1,Data on monetary aggregates in France.,M.FR.N.V.M20.A.1.U2.2300.Z01.E,"France monetary agregates, M2 [stocks]",1988-01,1988-01-01,485668.0,485668.0,M,FR,N,V,M20,A,1,U2,2300,Z01,E,Monthly,France,Neither seasonally nor working day adjusted,"MFIs, central government and post office giro institutions",Monetary aggregate M2,Total,Outstanding amounts at the end of the period (stocks),Euro area (changing composition),Non-MFIs excluding central government,All currencies combined,Euro
