,period,value,dataset_name,FREQ,REF_AREA,series_name,series_code
65,2024-01-01,201.6852,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
66,2024-04-01,201.6695,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
67,2024-07-01,200.8291,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
68,2024-10-01,200.886,Selected residential property prices,Q,4T,"Quarterly – Emerging market economies (aggregate) – Nominal – Index, 2010 = 100",Q.4T.N.628
69,2007-10-01,110.3123,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
70,2008-01-01,108.8242,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
71,2008-04-01,107.0276,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
72,2008-07-01,104.6159,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
73,2008-10-01,101.1278,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
74,2009-01-01,98.7843,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
75,2009-04-01,98.5274,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
76,2009-07-01,99.3041,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
77,2009-10-01,99.8262,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
