,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,LOCATION,SUBJECT,MEASURE,FREQUENCY,Country,Subject,Measure,Frequency
32,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",1992,1992-01-01,236.125,236.125,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
33,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",1993,1993-01-01,249.35,249.35,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
34,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",1994,1994-01-01,268.841666666667,268.841666666667,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
35,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",1995,1995-01-01,291.341666666667,291.341666666667,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
36,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",1996,1996-01-01,318.191666666667,318.191666666667,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
37,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",1997,1997-01-01,344.675,344.675,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
38,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",1998,1998-01-01,368.458333333333,368.458333333333,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
39,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",1999,1999-01-01,403.116666666667,403.116666666667,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
40,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",2000,2000-01-01,431.716666666667,431.716666666667,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
41,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",2001,2001-01-01,469.883333333333,469.883333333333,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
